[3](1.69945,0.243973,2.26204)
[3](1.70738,0.442888,3.03688)
[3](2.41234,1.12809,2.85376)
[3](2.4044,0.929176,2.07892)
[3](1.69945,0.243973,2.26204)
[3](1.27394,0.654732,2.16095)
[3](1.28187,0.853646,2.93579)
[3](1.70738,0.442888,3.03688)
[3](1.28187,0.853646,2.93579)
[3](1.98683,1.53885,2.75266)
[3](2.41234,1.12809,2.85376)
[3](1.98683,1.53885,2.75266)
[3](1.97889,1.33993,1.97783)
[3](2.4044,0.929176,2.07892)
[3](1.97889,1.33993,1.97783)
[3](1.27394,0.654732,2.16095)
[3](1.69945,0.243973,2.26204)


[3](1.54322,0.259183,2.25824)
[3](1.6751,0.448807,3.02417)
[3](2.40175,1.07599,2.74378)
[3](2.26987,0.886367,1.97785)
[3](1.54322,0.259183,2.25824)
[3](1.14306,0.70434,2.21693)
[3](1.27494,0.893964,2.98286)
[3](1.6751,0.448807,3.02417)
[3](1.27494,0.893964,2.98286)
[3](2.00159,1.52115,2.70247)
[3](2.40175,1.07599,2.74378)
[3](2.00159,1.52115,2.70247)
[3](1.86971,1.33152,1.93654)
[3](2.26987,0.886367,1.97785)
[3](1.86971,1.33152,1.93654)
[3](1.14306,0.70434,2.21693)
[3](1.54322,0.259183,2.25824)


[3](0.891387,1.83593,1.32786)
[3](1.33342,1.18944,1.49113)
[3](2.0041,1.76589,1.95791)
[3](1.56207,2.41238,1.79465)
[3](0.891387,1.83593,1.32786)
[3](0.594471,1.76331,1.84417)
[3](1.0365,1.11681,2.00743)
[3](1.33342,1.18944,1.49113)
[3](1.0365,1.11681,2.00743)
[3](1.70719,1.69326,2.47421)
[3](2.0041,1.76589,1.95791)
[3](1.70719,1.69326,2.47421)
[3](1.26516,2.33976,2.31095)
[3](1.56207,2.41238,1.79465)
[3](1.26516,2.33976,2.31095)
[3](0.594471,1.76331,1.84417)
[3](0.891387,1.83593,1.32786)


[3](0.856641,2.16205,1.30436)
[3](1.42597,1.60472,1.23197)
[3](1.99308,2.0984,1.89127)
[3](1.42374,2.65573,1.96365)
[3](0.856641,2.16205,1.30436)
[3](0.607858,1.84974,1.75221)
[3](1.17719,1.29241,1.67982)
[3](1.42597,1.60472,1.23197)
[3](1.17719,1.29241,1.67982)
[3](1.74429,1.78609,2.33912)
[3](1.99308,2.0984,1.89127)
[3](1.74429,1.78609,2.33912)
[3](1.17496,2.34343,2.41151)
[3](1.42374,2.65573,1.96365)
[3](1.17496,2.34343,2.41151)
[3](0.607858,1.84974,1.75221)
[3](0.856641,2.16205,1.30436)


[3](1.72636,3.30844,0.87485)
[3](1.66043,3.69008,1.57486)
[3](2.27603,3.02398,1.99598)
[3](2.34196,2.64234,1.29598)
[3](1.72636,3.30844,0.87485)
[3](2.1966,3.65246,0.731582)
[3](2.13067,4.03409,1.43159)
[3](1.66043,3.69008,1.57486)
[3](2.13067,4.03409,1.43159)
[3](2.74627,3.36799,1.85271)
[3](2.27603,3.02398,1.99598)
[3](2.74627,3.36799,1.85271)
[3](2.8122,2.98636,1.15271)
[3](2.34196,2.64234,1.29598)
[3](2.8122,2.98636,1.15271)
[3](2.1966,3.65246,0.731582)
[3](1.72636,3.30844,0.87485)


[3](1.94537,3.2817,0.790747)
[3](1.78252,3.66774,1.47225)
[3](2.46905,3.11776,1.94785)
[3](2.6319,2.73171,1.26634)
[3](1.94537,3.2817,0.790747)
[3](2.36418,3.69069,0.659149)
[3](2.20133,4.07674,1.34065)
[3](1.78252,3.66774,1.47225)
[3](2.20133,4.07674,1.34065)
[3](2.88786,3.52675,1.81625)
[3](2.46905,3.11776,1.94785)
[3](2.88786,3.52675,1.81625)
[3](3.05072,3.14071,1.13474)
[3](2.6319,2.73171,1.26634)
[3](3.05072,3.14071,1.13474)
[3](2.36418,3.69069,0.659149)
[3](1.94537,3.2817,0.790747)


